username,bet_centrality
iitarc,0.38145843612061814
iitalumniassn,0.0624084130021204
IITCampusLife,0.05460757928200512
illinoistech,0.04825075721732135
IITCareers,0.043705646667478046
IITSci_Letters,0.036511600132061034
GalvinLibrary,0.03512665103902464
IITCommunity,0.023405470613011025
IITEngineering,0.021921110603012075
IITHumanScience,0.018510619587911028
IITStuart,0.016658961057634838
IITAdmission,0.015319248647493209
IITFacilities,0.015224500116095984
IIT_HUM,0.012640967064567089
ILTechAthletics,0.012260624067886215
IIT_ITM,0.012180541057021035
iitsga,0.011338339412716397
IITPsychology,0.010844565627529648
IITGradRecruit,0.0100455415491938
IIT_OneStopShop,0.008897403726806122
IITORL,0.006709122361266208
IITSHWC,0.006543209587026754
TechNewsIIT,0.006357662628934849
IITPublicSafety,0.006188161842003264
IITComputing,0.005941898489508967
iitunionboard,0.0043763873162080465
iitcsdept,0.004230013380253305
iitentrepreneur,0.0037366721604024647
kjstetz,0.0031876930375904534
IllinoisTechGLP,0.0031319411209584412
BogIIT,0.0028031800760575736
KaplanInstitute,0.002769671726120332
SpirituaLifeIIT,0.002294818355994329
iitgreen,0.002262380780146841
IITcareerservic,0.0019187338165374576
iitwhiteboard,0.0018767753869832974
IIT_Tech_Park,0.001698378382176371
IITLeadershipAc,0.0016383003177773132
IITFaculty,0.0016320319251005675
PrismIIT,0.0014762049883418596
IITGreekCouncil,0.0012245892441003971
IntiniumGroup,0.0008819782547506105
Commons_IIT,0.0007981887750362062
MikeGosz,0.0007741164349390642
IPROatIIT,0.0007448355515677749
ShimerSchool,0.0006750831620824727
WIITChicago,0.0006614940430373942
jmille38,0.0006505365426604258
gpdoyle,0.000553710763277092
triangleIIT,0.0005190113974656339
ESW_IIT,0.0005113335464528375
WDavid_IllTech,0.00044008938024478386
IITStudentsAct,0.0004300602971686774
iitipro,0.0003729575254139316
WW_Lopez72,0.00034838610976461543
DigIITalArchFab,0.00034596169476965315
iitdelts,0.00033426439420128075
ShuBeorNotShuBe,0.00033398556253061375
BSU_IIT,0.00031597216631511
RossTLudwig,0.00028828688542367444
iiiop28234859,0.00026775385688200033
MiesSociety,0.00026007086342195475
IITSOAR_Leo,0.00025188936288515654
LuisLarco,0.00024804595631299176
33rdiit,0.0002477788925614383
ASO_IIT,0.0002259979123357533
lwoods531,0.00022498192262538467
studyabroadiit,0.0002150862999150963
SameerS45569163,0.00018970431437781454
shikshasamadhan,0.0001653832600902358
IITSOAR_Jacob,0.00016314718902244168
IITSocSciences,0.0001592229607626963
PritzkerClub,0.0001532555504671577
cityzenlab,0.00014905621156096962
ShilaBorse,0.00014620115099944628
iit_ccc,0.00012832038786367755
RealTechNewsIIT,0.0001201452878597919
pranava_teja,0.00011809087069040032
iitideashop,0.00010925152438759338
awelch_iit,9.843586007667176e-05
AlNunez1890,9.757373766065765e-05
xraymancs,9.727074867764017e-05
MTCCLateNiite,8.515837671748869e-05
Sankar11134207,8.250681479768935e-05
SistersOnCampus,8.098044125955484e-05
fscillinoistech,7.638394069241436e-05
TheNextGenAIR,7.329953961983446e-05
AmrMohsen95,7.179625115161964e-05
iitcin,7.173675519043005e-05
VIJAY106860,6.54874236690363e-05
IITSOAR_Rahul,6.25852134684388e-05
Positivelyposit,6.0288385538403444e-05
IITIPL,5.889825892737559e-05
BW_IllinoisTech,5.782272589195526e-05
ameenaleah,5.6039307553712203e-05
PsiChi_IIT,5.560567247991625e-05
shankararyal12,5.291835152752842e-05
piyushjain1101,4.865527224073345e-05
IITCAC,4.835936291103443e-05
NishitrajRaj,4.618653051696801e-05
WLimestall,4.4606306360251735e-05
iit_acmw,4.374679874138116e-05
AiaaTech,4.263494605496335e-05
IllinoisTechIM,4.0157673766642395e-05
mgarcia810,3.981894454823378e-05
KnappCenter,3.9410152528555315e-05
Examhook1,3.899253444344006e-05
avsheth11,3.713241311981772e-05
IIT_PSM,3.4128790192102665e-05
anopc,3.375781741799918e-05
usacolumbus69,2.9894531691871817e-05
akshith_rock,2.8745206563143143e-05
azocaro,2.6365564456473406e-05
FashionPETRAcom,2.6259827599059603e-05
iitcandycampus,2.5185725950186897e-05
farihawajid,2.295527986987727e-05
vijayprakash15,2.232088886480725e-05
quinnmcastaneda,2.145905622587319e-05
Congying123456,2.105560630194574e-05
ksubramani29,1.8855980827411862e-05
Saurabh009133,1.870076288340151e-05
mysorefoodies,1.6169659288861806e-05
UniMonk,1.5830050585512676e-05
ForeverYogurt,1.5365961497344412e-05
DanTheMan8555,1.53023143005162e-05
aakashkumar3163,1.5292606458906977e-05
pradeepgill7,1.4590287451164518e-05
Andrew_IIT,1.4135238146023744e-05
ConnorRReilly,1.3675685570438849e-05
kunalomizer,1.3459562437593174e-05
zleidodo,1.302046560709337e-05
justinsum41,1.2057300970555644e-05
